strain	isolate_id	strain_number	lineage	host_genus	host_species	year	Country	State	county	town	host_environment	sample_type	gps_coord	lat	lon	list	notes	duplicate	source	date
MT_DQ832718.1						2016	United States	California												2016-01-01
7612-D1	PR-07-224	1004.1	Other	Other	Other	2001	United States	California	Curry		Forest					GLCC_DB			Daniels 2021	2001-01-01
7612-B3	PR-01-001	1006.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.10412	-124.2568	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-F3	PR-07-225	1008.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.10417	-124.25667	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
Pram_PR_01_004_NA1	PR-01-004	1020.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	Oregon	Curry		Forest					GLCC_DB			Culture collection	2001-01-01
7612-A11		1021.1	Other	Other	Other	2001	United States	California	Curry							CurryCo_List			Daniels 2021	2001-01-01
7612-D9	PR-07-227	1022.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.11189	-124.26289	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-C9		1030.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.07435	-124.26372	CurryCo_List			Daniels 2021	2001-01-01
7612-F2		1033	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.11215	-124.26276	CurryCo_List			Daniels 2021	2001-01-01
7612-G8		1036.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.11147	-124.2627	CurryCo_List			Daniels 2021	2001-01-01
7881-H11		1037.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.11775	-124.26297	CurryCo_List			Daniels 2021	2001-01-01
7612-G3		1041	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry					42.07252	-124.26311	CurryCo_List			Daniels 2021	2002-01-01
7612-A1	PR-07-230	1043	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry		Forest			42.07828	-124.26103	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-H4	PR-07-231	1056	Other	Other	Other	2002	United States	California	Curry		Forest			42.06789	-124.25386	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-D7	PR-07-232	2025.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.09121	-124.27387	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-D3	PR-06-011	2027.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.09107	-124.2748	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-E3	PR-07-233	2029.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.09106	-124.27482	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-D2	PR-01-005	2033.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.09121	-124.27387	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-E9	PR-07-235	2043.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry		Forest			42.07431	-124.26276	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-E4	PR-07-237	2091.1	Other	Other	Other	2001	United States	California	Curry		Forest			42.09114	-124.27432	CurryCo_List/GLCC_DB			Daniels 2021	2001-01-01
7612-D5	PR-05-055	2092	Other	Other	Other	2002	United States	California	Curry					42.09114	-124.27432	CurryCo_List/GLCC_DB		duplicate	Daniels 2021	2002-01-01
7612-A3		2098.2	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.09114	-124.27432	CurryCo_List			Daniels 2021	2001-01-01
7612-B9		2099.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2001	United States	California	Curry					42.09114	-124.27432	CurryCo_List			Daniels 2021	2001-01-01
7612-F7	PR-13-002	2138.1	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry		Forest			42.07195	-124.26172	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-E6	PR-02-018	2148	Other	Other	Other	2002	United States	California	Curry		Forest			42.07432	-124.26309	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-G6	PR-02-019	2149	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry		Forest			42.10237	-124.25625	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-B10		2157.3	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry					42.07286	-124.26089	CurryCo_List			Daniels 2021	2002-01-01
7612-E2	PR-02-020	2158	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry		Forest			42.07213	-124.26142	CurryCo_List/GLCC_DB			Daniels 2021	2002-01-01
7612-H11		2181	Other	Other	Other	2002	United States	California	Curry					42.07782	-124.26146	CurryCo_List			Daniels 2021	2002-01-01
7612-C7		2195	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2002	United States	California	Curry					42.07703	-124.26307	CurryCo_List			Daniels 2021	2002-01-01
7612-H8		2222	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.09052	-124.2759	CurryCo_List			Daniels 2021	2003-01-01
7612-B1		2223	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.09052	-124.2759	CurryCo_List			Daniels 2021	2003-01-01
7612-F9	PR-13-273	2234	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.10651	-124.25109	CurryCo_List/GLCC_DB			Daniels 2021	2003-01-01
7612-H7		2235	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.107	-124.25067	CurryCo_List			Daniels 2021	2003-01-01
7612-H9		2246	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.08659	-124.24989	CurryCo_List			Daniels 2021	2003-01-01
7612-G11	PR-13-275	2252	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.14188	-124.26797	CurryCo_List/GLCC_DB			Daniels 2021	2003-01-01
7612-D8		2294	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.06901	-124.26201	CurryCo_List			Daniels 2021	2003-01-01
7885-F1		2295	Other	Other	Other	2003	United States	California	Curry					42.06903	-124.2621	CurryCo_List			Daniels 2021	2003-01-01
7612-G7		2298	Other	Other	Other	2003	United States	California	Curry							CurryCo_List			Daniels 2021	2003-01-01
7612-B8	PR-03-001	2339	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry			bark		42.09245	-124.27142	CurryCo_List/GLCC_DB			Daniels 2021	2003-01-01
7885-G1		2340	Other	Other	Other	2003	United States	California	Curry					42.09244	-124.27138	CurryCo_List			Daniels 2021	2003-01-01
7612-H10		2424	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.06921	-124.26371	CurryCo_List			Daniels 2021	2003-01-01
7612-E5		2486	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2004	United States	California	Curry					42.08785	-124.25009	CurryCo_List			Daniels 2021	2004-01-01
7612-B6	PR-03-008	2544	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry		Forest			42.07817	-124.26019	CurryCo_List/GLCC_DB			Daniels 2021	2003-01-01
7612-C11		2555	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07611	-124.26201	CurryCo_List			Daniels 2021	2003-01-01
7612-E1		2562	Other	Other	Other	2001	United States	California	Curry		Forest					CurryCo_List		duplicate	Daniels 2021	2001-01-01
7612-E11		2562	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07272	-124.26252	CurryCo_List		duplicate	Daniels 2021	2003-01-01
7612-F5	PR-13-282	2568	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.09127	-124.27203	CurryCo_List/GLCC_DB		duplicate	Daniels 2021	2003-01-01
7885-H1	PR-13-282	2568	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.09127	-124.27203	CurryCo_List/GLCC_DB		duplicate	Daniels 2021	2003-01-01
7612-B12		2573	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07258	-124.26235	CurryCo_List			Daniels 2021	2003-01-01
7612-C8		2574	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07741	-124.25983	CurryCo_List			Daniels 2021	2003-01-01
7881-G3		2597	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07627	-124.26242	CurryCo_List			Daniels 2021	2003-01-01
7881-G2		2598	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.07651	-124.2626	CurryCo_List			Daniels 2021	2003-01-01
7612-H6		2647	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.10495	-124.25473	CurryCo_List			Daniels 2021	2003-01-01
7881-A12		2663	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2003	United States	California	Curry					42.09665	-124.27193	CurryCo_List			Daniels 2021	2003-01-01
7881-B12		2711	Notholithocarpus densiflorus	Notholithocarpus	Notholithocarpus densiflorus	2005	United States	California	Curry					42.08433	-124.25146	CurryCo_List			Daniels 2021	2005-01-01
